Episode: 320, Event: hole, Total Score: -71, Epsilon: 0.2011
Episode: 321, Event: hole, Total Score: -39, Epsilon: 0.2001
Episode: 322, Event: hole, Total Score: -53, Epsilon: 0.1991
Episode: 323, Event: hole, Total Score: -61, Epsilon: 0.1981
Episode: 324, Event: hole, Total Score: -56, Epsilon: 0.1971
Episode: 325, Event: hole, Total Score: -73, Epsilon: 0.1961
Episode: 326, Event: hole, Total Score: -67, Epsilon: 0.1951
Episode: 327, Event: hole, Total Score: -27, Epsilon: 0.1942
Episode: 328, Event: hole, Total Score: -43, Epsilon: 0.1932
Episode: 329, Event: hole, Total Score: -49, Epsilon: 0.1922
Episode: 330, Event: hole, Total Score: -53, Epsilon: 0.1913
Episode: 331, Event: hole, Total Score: -60, Epsilon: 0.1903
Episode: 332, Event: hole, Total Score: -41, Epsilon: 0.1893
Episode: 333, Event: hole, Total Score: -50, Epsilon: 0.1884
Episode: 334, Event: hole, Total Score: -59, Epsilon: 0.1875
Episode: 335, Event: hole, Total Score: -27, Epsilon: 0.1865
Episode: 336, Event: hole, Total Score: -57, Epsilon: 0.1856
Episode: 337, Event: hole, Total Score: -85, Epsilon: 0.1847
Episode: 338, Event: hole, Total Score: -52, Epsilon: 0.1837
Episode: 339, Event: hole, Total Score: -29, Epsilon: 0.1828
Episode: 340, Event: goal, Total Score: -46, Epsilon: 0.1819
Episode: 341, Event: hole, Total Score: -87, Epsilon: 0.1810
Episode: 342, Event: hole, Total Score: -87, Epsilon: 0.1801
Episode: 343, Event: hole, Total Score: -69, Epsilon: 0.1792
Episode: 344, Event: hole, Total Score: -39, Epsilon: 0.1783
Episode: 345, Event: hole, Total Score: -31, Epsilon: 0.1774
Episode: 346, Event: hole, Total Score: -60, Epsilon: 0.1765
Episode: 347, Event: hole, Total Score: -87, Epsilon: 0.1756
Episode: 348, Event: hole, Total Score: -49, Epsilon: 0.1748
Episode: 349, Event: goal, Total Score: -86, Epsilon: 0.1739
Episode: 350, Event: hole, Total Score: -49, Epsilon: 0.1730
Episode: 351, Event: goal, Total Score: -152, Epsilon: 0.1721
Episode: 352, Event: hole, Total Score: -31, Epsilon: 0.1713
Episode: 353, Event: hole, Total Score: -41, Epsilon: 0.1704
Episode: 354, Event: hole, Total Score: -39, Epsilon: 0.1696
Episode: 355, Event: hole, Total Score: -80, Epsilon: 0.1687
Episode: 356, Event: hole, Total Score: -35, Epsilon: 0.1679
Episode: 357, Event: hole, Total Score: -83, Epsilon: 0.1670
Episode: 358, Event: hole, Total Score: -77, Epsilon: 0.1662
Episode: 359, Event: hole, Total Score: -35, Epsilon: 0.1654
Episode: 360, Event: goal, Total Score: 6, Epsilon: 0.1646
Episode: 361, Event: hole, Total Score: -27, Epsilon: 0.1637
Episode: 362, Event: hole, Total Score: -43, Epsilon: 0.1629
Episode: 363, Event: hole, Total Score: -30, Epsilon: 0.1621
