Episode: 518, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0745
Episode: 519, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0742
Episode: 520, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0738
Episode: 521, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0734
Episode: 522, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0731
Episode: 524, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.0723
Episode: 525, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.0720
Episode: 526, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0716
Episode: 528, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0709
Episode: 529, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0705
Episode: 530, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.0702
Episode: 531, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.0698
Episode: 532, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0695
Episode: 533, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0691
Episode: 189, Steps: 32, Steps_X: 15, Steps_Y: 17, Total Score: 18, Epsilon: 0.3878
Episode: 200, Steps: 38, Steps_X: 21, Steps_Y: 17, Total Score: 12, Epsilon: 0.3670
Episode: 223, Steps: 22, Steps_X: 9, Steps_Y: 13, Total Score: 28, Epsilon: 0.3270
Episode: 241, Steps: 40, Steps_X: 17, Steps_Y: 23, Total Score: 10, Epsilon: 0.2988
Episode: 244, Steps: 36, Steps_X: 17, Steps_Y: 19, Total Score: 14, Epsilon: 0.2943
Episode: 245, Steps: 46, Steps_X: 21, Steps_Y: 25, Total Score: 4, Epsilon: 0.2929
Episode: 268, Steps: 26, Steps_X: 17, Steps_Y: 9, Total Score: 24, Epsilon: 0.2610
Episode: 269, Steps: 24, Steps_X: 9, Steps_Y: 15, Total Score: 26, Epsilon: 0.2597
Episode: 270, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.2584
Episode: 271, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.2571
Episode: 273, Steps: 28, Steps_X: 13, Steps_Y: 15, Total Score: 22, Epsilon: 0.2545
Episode: 274, Steps: 30, Steps_X: 13, Steps_Y: 17, Total Score: 20, Epsilon: 0.2532
Episode: 275, Steps: 36, Steps_X: 23, Steps_Y: 13, Total Score: 14, Epsilon: 0.2520
Episode: 276, Steps: 38, Steps_X: 17, Steps_Y: 21, Total Score: 12, Epsilon: 0.2507
Episode: 277, Steps: 30, Steps_X: 17, Steps_Y: 13, Total Score: 20, Epsilon: 0.2495
Episode: 280, Steps: 34, Steps_X: 17, Steps_Y: 17, Total Score: 16, Epsilon: 0.2457
Episode: 287, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.2373
Episode: 290, Steps: 26, Steps_X: 15, Steps_Y: 11, Total Score: 24, Epsilon: 0.2337
