Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 90, Global Episode: 5566, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.6369
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 91, Global Episode: 5567, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.6337
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 92, Global Episode: 5568, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.6306
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 93, Global Episode: 5569, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: -3, Epsilon: 0.6274
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 94, Global Episode: 5570, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.6243
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 95, Global Episode: 5571, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: 0, Epsilon: 0.6211
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 96, Global Episode: 5572, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.6180
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 97, Global Episode: 5573, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.6149
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 98, Global Episode: 5574, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.6119
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 99, Global Episode: 5575, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.6088
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 100, Global Episode: 5576, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: 0, Epsilon: 0.6058
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 101, Global Episode: 5577, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.6027
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 102, Global Episode: 5578, Event: hole, Total Score: -54, Turns: 0, Turn Penalty: -3, Epsilon: 0.5997
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 103, Global Episode: 5579, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.5967
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 104, Global Episode: 5580, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.5937
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 105, Global Episode: 5581, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.5908
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 106, Global Episode: 5582, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.5878
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 107, Global Episode: 5583, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: 0, Epsilon: 0.5849
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 108, Global Episode: 5584, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.5820
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 109, Global Episode: 5585, Event: hole, Total Score: -66, Turns: 0, Turn Penalty: -3, Epsilon: 0.5790
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 110, Global Episode: 5586, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.5762
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 111, Global Episode: 5587, Event: hole, Total Score: -52, Turns: 0, Turn Penalty: -3, Epsilon: 0.5733
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 112, Global Episode: 5588, Event: hole, Total Score: -61, Turns: 0, Turn Penalty: -3, Epsilon: 0.5704
